ccaa,year,spend_type,total_gastos_eur,func41_agricultura_pesca_alimentacion_eur,source_ref
Aragón,2019,presupuestado,6162313650.0,642933400.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=02&ano=2019
Principado de Asturias,2019,presupuestado,4524241250.0,194399360.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=03&ano=2019
Comunidad Valenciana,2019,presupuestado,22597016020.0,530754810.00000006,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=17&ano=2019
Canarias,2019,presupuestado,8833481410.0,85777460.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=05&ano=2019
Cantabria,2019,presupuestado,2853763320.0,53086790.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=06&ano=2019
Castilla y León,2019,presupuestado,10784981490.0,1362146250.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=07&ano=2019
Castilla-La Mancha,2019,presupuestado,9219096050.0,1276490570.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=08&ano=2019
Cataluña,2019,presupuestado,34119463840.000004,558156550.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=09&ano=2019
Extremadura,2019,presupuestado,5797947020.0,755286570.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=10&ano=2019
Galicia,2019,presupuestado,11544351290.0,450054520.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=11&ano=2019
Islas Baleares,2019,presupuestado,5457748640.0,67528610.0,https://serviciostelematicosext.hacienda.gob.es/SGCIEF/PublicacionPresupuestos/aspx/DescargaFuncionalCapDC.aspx?cdcdad=04&ano=2019
