nacionalidad,anyo,ambito,sexo,total
GUATEMALA,2021,ANTISEMITISMO,Femenino,0
GUATEMALA,2021,ANTISEMITISMO,Masculino,0
GUINEA ECUATORIAL,2021,ANTISEMITISMO,Ambos sexos,0
GUINEA ECUATORIAL,2021,ANTISEMITISMO,Femenino,0
GUINEA ECUATORIAL,2021,ANTISEMITISMO,Masculino,0
GUINEA REP.,2021,ANTISEMITISMO,Ambos sexos,0
GUINEA REP.,2021,ANTISEMITISMO,Femenino,0
GUINEA REP.,2021,ANTISEMITISMO,Masculino,0
HAITI,2021,ANTISEMITISMO,Ambos sexos,0
HAITI,2021,ANTISEMITISMO,Femenino,0
HAITI,2021,ANTISEMITISMO,Masculino,0
HOLANDA,2021,ANTISEMITISMO,Ambos sexos,0
HOLANDA,2021,ANTISEMITISMO,Femenino,0
HOLANDA,2021,ANTISEMITISMO,Masculino,0
HONDURAS,2021,ANTISEMITISMO,Ambos sexos,0
HONDURAS,2021,ANTISEMITISMO,Femenino,0
HONDURAS,2021,ANTISEMITISMO,Masculino,0
INDIA,2021,ANTISEMITISMO,Ambos sexos,0
INDIA,2021,ANTISEMITISMO,Femenino,0
INDIA,2021,ANTISEMITISMO,Masculino,0
IRLANDA,2021,ANTISEMITISMO,Ambos sexos,0
IRLANDA,2021,ANTISEMITISMO,Femenino,0
IRLANDA,2021,ANTISEMITISMO,Masculino,0
IRÁN,2021,ANTISEMITISMO,Ambos sexos,0
IRÁN,2021,ANTISEMITISMO,Femenino,0
IRÁN,2021,ANTISEMITISMO,Masculino,0
ISRAEL,2021,ANTISEMITISMO,Ambos sexos,0
ISRAEL,2021,ANTISEMITISMO,Femenino,0
ISRAEL,2021,ANTISEMITISMO,Masculino,0
ITALIA,2021,ANTISEMITISMO,Ambos sexos,0
ITALIA,2021,ANTISEMITISMO,Femenino,0
ITALIA,2021,ANTISEMITISMO,Masculino,0
LETONIA,2021,ANTISEMITISMO,Ambos sexos,0
LETONIA,2021,ANTISEMITISMO,Femenino,0
LETONIA,2021,ANTISEMITISMO,Masculino,0
LIBERIA,2021,ANTISEMITISMO,Ambos sexos,0
LIBERIA,2021,ANTISEMITISMO,Femenino,0
LIBERIA,2021,ANTISEMITISMO,Masculino,0
LIBIA,2021,ANTISEMITISMO,Ambos sexos,0
LIBIA,2021,ANTISEMITISMO,Femenino,0
LIBIA,2021,ANTISEMITISMO,Masculino,0
LITUANIA,2021,ANTISEMITISMO,Ambos sexos,0
LITUANIA,2021,ANTISEMITISMO,Femenino,0
LITUANIA,2021,ANTISEMITISMO,Masculino,0
LÍBANO,2021,ANTISEMITISMO,Ambos sexos,0
LÍBANO,2021,ANTISEMITISMO,Femenino,0
LÍBANO,2021,ANTISEMITISMO,Masculino,0
MALI,2021,ANTISEMITISMO,Ambos sexos,0
MALI,2021,ANTISEMITISMO,Femenino,0
MALI,2021,ANTISEMITISMO,Masculino,0
MARRUECOS,2021,ANTISEMITISMO,Ambos sexos,0
MARRUECOS,2021,ANTISEMITISMO,Femenino,0
MARRUECOS,2021,ANTISEMITISMO,Masculino,0
MAURITANIA,2021,ANTISEMITISMO,Ambos sexos,0
MAURITANIA,2021,ANTISEMITISMO,Femenino,0
MAURITANIA,2021,ANTISEMITISMO,Masculino,0
MOLDAVIA,2021,ANTISEMITISMO,Ambos sexos,0
MOLDAVIA,2021,ANTISEMITISMO,Femenino,0
MOLDAVIA,2021,ANTISEMITISMO,Masculino,0
MONGOLIA,2021,ANTISEMITISMO,Ambos sexos,0
MONGOLIA,2021,ANTISEMITISMO,Femenino,0
MONGOLIA,2021,ANTISEMITISMO,Masculino,0
NEPAL,2021,ANTISEMITISMO,Ambos sexos,0
NEPAL,2021,ANTISEMITISMO,Femenino,0
NEPAL,2021,ANTISEMITISMO,Masculino,0
NICARAGUA,2021,ANTISEMITISMO,Ambos sexos,0
NICARAGUA,2021,ANTISEMITISMO,Femenino,0
NICARAGUA,2021,ANTISEMITISMO,Masculino,0
NIGERIA,2021,ANTISEMITISMO,Ambos sexos,0
NIGERIA,2021,ANTISEMITISMO,Femenino,0
NIGERIA,2021,ANTISEMITISMO,Masculino,0
NÍGER REP.,2021,ANTISEMITISMO,Ambos sexos,0
NÍGER REP.,2021,ANTISEMITISMO,Femenino,0
NÍGER REP.,2021,ANTISEMITISMO,Masculino,0
PANAMA,2021,ANTISEMITISMO,Ambos sexos,0
PANAMA,2021,ANTISEMITISMO,Femenino,0
PANAMA,2021,ANTISEMITISMO,Masculino,0
PAQUISTÁN,2021,ANTISEMITISMO,Ambos sexos,0
PAQUISTÁN,2021,ANTISEMITISMO,Femenino,0
PAQUISTÁN,2021,ANTISEMITISMO,Masculino,0
PARAGUAY,2021,ANTISEMITISMO,Ambos sexos,0
PARAGUAY,2021,ANTISEMITISMO,Femenino,0
PARAGUAY,2021,ANTISEMITISMO,Masculino,0
PAÍS DESCONOCIDO,2021,ANTISEMITISMO,Ambos sexos,0
PAÍS DESCONOCIDO,2021,ANTISEMITISMO,Femenino,0
PAÍS DESCONOCIDO,2021,ANTISEMITISMO,Masculino,0
PAÍS NO CODIFICADO,2021,ANTISEMITISMO,Ambos sexos,0
PAÍS NO CODIFICADO,2021,ANTISEMITISMO,Femenino,0
