year,crime_label,nationality_label,count
2024,exhibicionismo,española,303.0
2024,exhibicionismo,europa_no_ue27,5.0
2024,exhibicionismo,oceania,0.0
2024,exhibicionismo,total,396.0
2024,exhibicionismo,ue27_excl_espana,22.0
2024,prostitucion_menores,africa,23.0
2024,prostitucion_menores,america,245.0
2024,prostitucion_menores,asia,3.0
2024,prostitucion_menores,española,637.0
2024,prostitucion_menores,europa_no_ue27,31.0
2024,prostitucion_menores,oceania,0.0
2024,prostitucion_menores,total,989.0
2024,prostitucion_menores,ue27_excl_espana,50.0
2024,violacion,africa,24.0
2024,violacion,america,17.0
2024,violacion,asia,2.0
2024,violacion,española,41.0
2024,violacion,europa_no_ue27,2.0
2024,violacion,oceania,0.0
2024,violacion,total,90.0
2024,violacion,ue27_excl_espana,4.0
