year,sex,age_group,cause_chapter,cause,deaths,population,rate_per_100k
2000,male,20-24,,Eventos de intención no determinada,7,1701281,0.4115
2000,male,20-24,,Suicidio y lesiones autoinfligidas,158,1701281,9.2871
2000,male,20-24,I-XXII,Todas las causas,1533,1701281,90.1086
2000,male,20-24,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",2,1701281,0.1176
2000,male,25-29,,Accidentes de tráfico,570,1759905,32.3881
2000,male,25-29,,Agresiones (homicidio),41,1759905,2.3297
2000,male,25-29,,Envenenamiento accidental por psicofármacos y drogas de abuso,125,1759905,7.1027
2000,male,25-29,,Eventos de intención no determinada,8,1759905,0.4546
2000,male,25-29,,Suicidio y lesiones autoinfligidas,225,1759905,12.7848
2000,male,25-29,I-XXII,Todas las causas,1806,1759905,102.6192
2000,male,25-29,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",7,1759905,0.3977
2000,male,30-34,,Accidentes de tráfico,427,1695291,25.1874
2000,male,30-34,,Agresiones (homicidio),52,1695291,3.0673
2000,male,30-34,,Envenenamiento accidental por psicofármacos y drogas de abuso,164,1695291,9.6739
2000,male,30-34,,Eventos de intención no determinada,5,1695291,0.2949
2000,male,30-34,,Suicidio y lesiones autoinfligidas,175,1695291,10.3227
2000,male,30-34,I-XXII,Todas las causas,2191,1695291,129.2403
2000,male,30-34,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",6,1695291,0.3539
2000,male,35-39,,Accidentes de tráfico,372,1610610,23.0968
2000,male,35-39,,Agresiones (homicidio),34,1610610,2.111
2000,male,35-39,,Envenenamiento accidental por psicofármacos y drogas de abuso,144,1610610,8.9407
2000,male,35-39,,Eventos de intención no determinada,9,1610610,0.5588
2000,male,35-39,,Suicidio y lesiones autoinfligidas,221,1610610,13.7215
2000,male,35-39,I-XXII,Todas las causas,2935,1610610,182.2291
2000,male,35-39,,"Trastornos mentales debidos al uso de drogas (drogodependencia, toxicomanía)",5,1610610,0.3104
2000,male,40-44,,Accidentes de tráfico,331,1453816,22.7677
