year,sex,cause_chapter,deaths
2019,female,V,15021
2019,female,VI-VIII,15832
2019,female,X,21371
2019,female,XI,10592
2019,female,XII,1146
2019,female,XIII,3432
2019,female,XIV,7888
2019,female,XV,6
2019,female,XVI,253
2019,female,XVII,403
2019,female,XVIII,5284
2019,female,XX,5905
2019,male,I,3061
2019,male,II,67951
2019,male,III,878
2019,male,IV,5868
2019,male,IX,54511
2019,male,V,7875
2019,male,VI-VIII,10288
2019,male,X,26310
2019,male,XI,11446
2019,male,XII,629
2019,male,XIII,1730
2019,male,XIV,6235
2019,male,XV,0
2019,male,XVI,331
2019,male,XVII,412
2019,male,XVIII,4922
2019,male,XX,10236
2020,all,I,80796
2020,all,II,112741
2020,all,III,2062
2020,all,IV,15290
2020,all,IX,119853
2020,all,V,21697
2020,all,VI-VIII,27508
2020,all,X,42423
2020,all,XI,21565
2020,all,XII,1902
2020,all,XIII,5225
2020,all,XIV,15810
2020,all,XV,10
2020,all,XVI,518
2020,all,XVII,823
2020,all,XVIII,9475
2020,all,XX,16078
2020,female,I,38959
2020,female,II,45494
2020,female,III,1187
2020,female,IV,8555
2020,female,IX,63907
2020,female,V,14547
2020,female,VI-VIII,16920
2020,female,X,18588
2020,female,XI,10427
2020,female,XII,1255
2020,female,XIII,3496
2020,female,XIV,9047
2020,female,XV,10
2020,female,XVI,232
2020,female,XVII,390
2020,female,XVIII,5277
2020,female,XX,5821
2020,male,I,41837
2020,male,II,67247
2020,male,III,875
2020,male,IV,6735
2020,male,IX,55946
2020,male,V,7150
2020,male,VI-VIII,10588
2020,male,X,23835
2020,male,XI,11138
2020,male,XII,647
2020,male,XIII,1729
2020,male,XIV,6763
2020,male,XV,0
2020,male,XVI,286
2020,male,XVII,433
2020,male,XVIII,4198
2020,male,XX,10257
2021,all,I,46001
2021,all,II,113662
2021,all,III,2205
2021,all,IV,15124
2021,all,IX,119196
2021,all,V,20512
2021,all,VI-VIII,25014
2021,all,X,35543
2021,all,XI,22563
2021,all,XII,2021
2021,all,XIII,5113
2021,all,XIV,16458
2021,all,XV,11
2021,all,XVI,528
2021,all,XVII,833
2021,all,XVIII,9129
2021,all,XX,16831
2021,female,I,20273
2021,female,II,45818
2021,female,III,1220
2021,female,IV,8400
2021,female,IX,63291
2021,female,V,13382
2021,female,VI-VIII,14929
2021,female,X,14806
2021,female,XI,10936
2021,female,XII,1288
2021,female,XIII,3407
2021,female,XIV,9545
2021,female,XV,11
2021,female,XVI,229
2021,female,XVII,402
2021,female,XVIII,5255
2021,female,XX,6142
2021,male,I,25728
2021,male,II,67844
2021,male,III,985
2021,male,IV,6724
2021,male,IX,55905
2021,male,V,7130
2021,male,VI-VIII,10085
2021,male,X,20737
2021,male,XI,11627
2021,male,XII,733
2021,male,XIII,1706
2021,male,XIV,6913
2021,male,XV,0
2021,male,XVI,299
2021,male,XVII,431
2021,male,XVIII,3874
2021,male,XX,10689
2022,all,I,38589
2022,all,II,114828
2022,all,III,2335
2022,all,IV,15924
2022,all,IX,121341
2022,all,V,22744
2022,all,VI-VIII,26765
2022,all,X,43024
2022,all,XI,23266
2022,all,XII,2043
2022,all,XIII,5549
2022,all,XIV,18019
2022,all,XV,11
