year,sex,age_group,nationality,population_july1
2007,all,75-79,total,1656542
2007,all,80+,foreign,30919
2007,all,80+,spanish,1996442
2007,all,80+,total,2027362
2007,all,all,foreign,4790606
2007,all,all,spanish,40445398
2007,all,all,total,45236004
2007,female,0-4,foreign,103104
2007,female,0-4,spanish,1043505
2007,female,0-4,total,1146609
2007,female,10-14,foreign,104984
2007,female,10-14,spanish,909735
2007,female,10-14,total,1014719
2007,female,15-19,foreign,124800
2007,female,15-19,spanish,997949
2007,female,15-19,total,1122749
2007,female,20-24,foreign,239357
2007,female,20-24,spanish,1144775
2007,female,20-24,total,1384132
2007,female,25-29,foreign,344503
2007,female,25-29,spanish,1449664
2007,female,25-29,total,1794167
2007,female,30-34,foreign,310881
2007,female,30-34,spanish,1634192
2007,female,30-34,total,1945072
2007,female,35-39,foreign,246913
