sex,nationality,age,year,count
female,america,36-40,2020,1
male,america,36-40,2020,39
all,america,41-50,2020,39
female,america,41-50,2020,1
male,america,41-50,2020,38
all,america,51-60,2020,14
female,america,51-60,2020,1
male,america,51-60,2020,13
all,america,61-70,2020,7
female,america,61-70,2020,0
male,america,61-70,2020,7
all,america,71+,2020,2
female,america,71+,2020,0
male,america,71+,2020,2
all,america,total,2020,237
female,america,total,2020,5
male,america,total,2020,232
all,asia,18-20,2020,1
female,asia,18-20,2020,0
male,asia,18-20,2020,1
all,asia,21-25,2020,7
female,asia,21-25,2020,0
male,asia,21-25,2020,7
all,asia,26-30,2020,10
female,asia,26-30,2020,0
male,asia,26-30,2020,10
all,asia,31-35,2020,6
female,asia,31-35,2020,0
male,asia,31-35,2020,6
all,asia,36-40,2020,12
female,asia,36-40,2020,0
male,asia,36-40,2020,12
all,asia,41-50,2020,13
female,asia,41-50,2020,0
male,asia,41-50,2020,13
all,asia,51-60,2020,5
female,asia,51-60,2020,0
male,asia,51-60,2020,5
all,asia,61-70,2020,1
female,asia,61-70,2020,0
male,asia,61-70,2020,1
all,asia,71+,2020,0
female,asia,71+,2020,0
male,asia,71+,2020,0
all,asia,total,2020,55
female,asia,total,2020,0
male,asia,total,2020,55
all,espanola,18-20,2020,132
female,espanola,18-20,2020,5
male,espanola,18-20,2020,127
all,espanola,21-25,2020,164
female,espanola,21-25,2020,2
male,espanola,21-25,2020,162
all,espanola,26-30,2020,148
female,espanola,26-30,2020,5
male,espanola,26-30,2020,143
all,espanola,31-35,2020,161
female,espanola,31-35,2020,2
male,espanola,31-35,2020,159
all,espanola,36-40,2020,217
female,espanola,36-40,2020,8
male,espanola,36-40,2020,209
all,espanola,41-50,2020,384
female,espanola,41-50,2020,10
male,espanola,41-50,2020,374
all,espanola,51-60,2020,232
female,espanola,51-60,2020,0
male,espanola,51-60,2020,232
all,espanola,61-70,2020,149
female,espanola,61-70,2020,0
male,espanola,61-70,2020,149
all,espanola,71+,2020,90
female,espanola,71+,2020,0
male,espanola,71+,2020,90
all,espanola,total,2020,1677
female,espanola,total,2020,32
male,espanola,total,2020,1645
all,europa_no_ue27,18-20,2020,3
female,europa_no_ue27,18-20,2020,0
male,europa_no_ue27,18-20,2020,3
all,europa_no_ue27,21-25,2020,8
female,europa_no_ue27,21-25,2020,0
male,europa_no_ue27,21-25,2020,8
all,europa_no_ue27,26-30,2020,3
female,europa_no_ue27,26-30,2020,1
male,europa_no_ue27,26-30,2020,2
all,europa_no_ue27,31-35,2020,6
female,europa_no_ue27,31-35,2020,0
male,europa_no_ue27,31-35,2020,6
